Star Wars (1977)	Star Wars (1977)	0.9999999
Star Wars (1977)	Return of the Jedi (1983)	0.8802841
Star Wars (1977)	Empire Strikes Back, The (1980)	0.74720806
Star Wars (1977)	Raiders of the Lost Ark (1981)	0.6877092
Star Wars (1977)	Godfather, The (1972)	0.5996702
Star Wars (1977)	Indiana Jones and the Last Crusade (1989)	0.5971827
Star Wars (1977)	Toy Story (1995)	0.54101056
Star Wars (1977)	Princess Bride, The (1987)	0.53315735
Star Wars (1977)	Alien (1979)	0.47312054
Star Wars (1977)	Men in Black (1997)	0.4653671
Star Wars (1977)	Star Trek: First Contact (1996)	0.46272784
Fargo (1996)	Fargo (1996)	1.0000001
Fargo (1996)	Twelve Monkeys (1995)	0.52228487
Fargo (1996)	Jerry Maguire (1996)	0.48875475
Fargo (1996)	Godfather, The (1972)	0.47685328
Fargo (1996)	Pulp Fiction (1994)	0.45825937
Fargo (1996)	Shawshank Redemption, The (1994)	0.44059306
Fargo (1996)	Silence of the Lambs, The (1991)	0.4344688
Fargo (1996)	Lone Star (1996)	0.43386236
Fargo (1996)	Usual Suspects, The (1995)	0.429656
Fargo (1996)	Dead Man Walking (1995)	0.4265951
Fargo (1996)	Leaving Las Vegas (1995)	0.41684958
Return of the Jedi (1983)	Return of the Jedi (1983)	0.9999999
Return of the Jedi (1983)	Star Wars (1977)	0.8802841
Return of the Jedi (1983)	Empire Strikes Back, The (1980)	0.7144373
Return of the Jedi (1983)	Raiders of the Lost Ark (1981)	0.58837765
Return of the Jedi (1983)	Indiana Jones and the Last Crusade (1989)	0.5756383
Return of the Jedi (1983)	Men in Black (1997)	0.52093816
Return of the Jedi (1983)	Toy Story (1995)	0.49028718
Return of the Jedi (1983)	Godfather, The (1972)	0.476908
Return of the Jedi (1983)	Hunt for Red October, The (1990)	0.47060272
Return of the Jedi (1983)	Star Trek: First Contact (1996)	0.42373267
Return of the Jedi (1983)	Princess Bride, The (1987)	0.4111232
Godfather, The (1972)	Godfather, The (1972)	1.0
Godfather, The (1972)	Godfather: Part II, The (1974)	0.668824
Godfather, The (1972)	Star Wars (1977)	0.5996702
Godfather, The (1972)	Boot, Das (1981)	0.52374136
Godfather, The (1972)	Return of the Jedi (1983)	0.476908
Godfather, The (1972)	Fargo (1996)	0.47685328
Godfather, The (1972)	GoodFellas (1990)	0.46941325
Godfather, The (1972)	Taxi Driver (1976)	0.42482808
Godfather, The (1972)	One Flew Over the Cuckoo's Nest (1975)	0.41972992
Godfather, The (1972)	Donnie Brasco (1997)	0.412095
Godfather, The (1972)	Alien (1979)	0.39635557
Raiders of the Lost Ark (1981)	Raiders of the Lost Ark (1981)	1.0
Raiders of the Lost Ark (1981)	Empire Strikes Back, The (1980)	0.7931656
Raiders of the Lost Ark (1981)	Star Wars (1977)	0.6877092
Raiders of the Lost Ark (1981)	Indiana Jones and the Last Crusade (1989)	0.6825871
Raiders of the Lost Ark (1981)	Fugitive, The (1993)	0.66950226
Raiders of the Lost Ark (1981)	Terminator, The (1984)	0.6284392
Raiders of the Lost Ark (1981)	Terminator 2: Judgment Day (1991)	0.62024033
Raiders of the Lost Ark (1981)	Back to the Future (1985)	0.6169978
Raiders of the Lost Ark (1981)	Return of the Jedi (1983)	0.58837765
Raiders of the Lost Ark (1981)	Die Hard (1988)	0.58431035
Raiders of the Lost Ark (1981)	Silence of the Lambs, The (1991)	0.580093
Silence of the Lambs, The (1991)	Silence of the Lambs, The (1991)	0.9999999
Silence of the Lambs, The (1991)	Fugitive, The (1993)	0.6094337
Silence of the Lambs, The (1991)	Pulp Fiction (1994)	0.60537124
Silence of the Lambs, The (1991)	Raiders of the Lost Ark (1981)	0.580093
Silence of the Lambs, The (1991)	Alien (1979)	0.56846154
Silence of the Lambs, The (1991)	Aliens (1986)	0.5554646
Silence of the Lambs, The (1991)	Shawshank Redemption, The (1994)	0.5547439
Silence of the Lambs, The (1991)	Usual Suspects, The (1995)	0.552918
